,,,,gut,nylon
string,note,frequency,length,diameter,diameter
,,(Hz),(mm),(mm),(mm)
,,,,,
00,G7,3135.963488,73,0.41,0.40
0,F7,2793.825851,81,0.43,0.41
1,E7,2637.020455,87,0.45,0.43
2,D7,2349.318143,95,0.47,0.47
3,C7,2093.004522,103,0.50,0.50
4,B6,1975.533205,113,0.55,0.56
5,A6,1760,122,0.60,0.62
6,G6,1567.981744,133,0.64,0.66
7,F6,1396.912926,144,0.66,0.69
8,E6,1318.510228,154,0.68,0.72
9,D6,1174.659072,169,0.72,0.75
10,C6,1046.502261,182,0.76,0.79
11,B5,987.7666025,197,0.80,0.82
12,A5,880,213,0.85,0.84
13,G5,783.990872,231,0.88,0.88
14,F5,698.4564629,250,0.92,0.94
15,E5,659.2551138,272,0.95,0.99
16,D5,587.3295358,293,1.00,1.05
17,C5,523.2511306,315,1.05,1.10
18,B4,493.8833013,341,1.10,1.14
19,A4,440,367,1.15,1.18
20,G4,391.995436,397,1.20,1.25
21,F4,349.2282314,433,1.25,1.32
22,E4,329.6275569,468,1.30,1.36
23,D4,293.6647679,507,1.35,1.42
24,C4,261.6255653,550,1.45,1.47
25,B3,246.9416506,599,1.55,1.55
26,A3,220,653,1.65,1.72
27,G3,195.997718,714,1.75,1.79
28,F3,174.6141157,775,1.80,1.81
29,E3,164.8137785,843,1.85,1.90
30,D3,146.832384,907,1.90,1.97
31,C3,130.8127827,965,2.00,2.01
32,B2,123.4708253,1018,2.05,2.06
33,A2,110,1067,2.20,2.20
